,target2,prime2,rt,key,participant,primetype,relationtype,Primert
,СЧИТАТЬ,считать,0.616,j,Pavel_L1,identity,semantic,id
,ПОМНИТЬ,помнить,0.619,j,Pavel_L1,identity,semantic,id
,ПЛАКАТЬ,плакать,0.5,j,Pavel_L1,identity,semantic,id
,ХВАТИТЬ,хватить,0.482,j,Pavel_L1,identity,semantic,id
,ДУМАТЬ,думать,0.532,j,Pavel_L1,identity,semantic,id
,СЛЫШАТЬ,слышать,0.489,j,Pavel_L1,identity,semantic,id
,ВЕРНУТЬ,вернуть,0.615,j,Pavel_L1,identity,semantic,id
,ПИСАТЬ,писать,0.664,j,Pavel_L1,identity,semantic,id
,ГОВОРИТЬ,говорить,0.487,j,Pavel_L1,identity,semantic,id
,ЗАЯВИТЬ,заявить,0.606,j,Pavel_L1,identity,semantic,id
,СТРАДАТЬ,страдать,0.673,j,Pavel_L1,identity,orthographic,id
,СМОТРЕТЬ,смотреть,1.681,j,Pavel_L1,identity,orthographic,id
,СТОЯТЬ,стоять,0.899,j,Pavel_L1,identity,orthographic,id
,ИГРАТЬ,играть,0.454,j,Pavel_L1,identity,orthographic,id
,СТАВИТЬ,ставить,0.65,j,Pavel_L1,identity,orthographic,id
,СЛУШАТЬ,слушать,0.564,j,Pavel_L1,identity,orthographic,id
,ПРОСИТЬ,просить,0.584,j,Pavel_L1,identity,orthographic,id
,МЕШАТЬ,мешать,0.583,j,Pavel_L1,identity,orthographic,id
,ТЕРПЕТЬ,терпеть,0.865,j,Pavel_L1,identity,orthographic,id
,ТЕРЯТЬ,терять,0.553,j,Pavel_L1,identity,orthographic,id
,СИДЕТЬ,сидеть,0.554,j,Pavel_L1,identity,orthographic,id
,ЧИТАТЬ,читать,0.482,j,Pavel_L1,identity,orthographic,id
,ДЕРЖАТЬ,держать,0.482,j,Pavel_L1,identity,orthographic,id
,ВЕРИТЬ,верить,0.554,j,Pavel_L1,identity,orthographic,id
,ЗВОНИТЬ,звонить,0.516,j,Pavel_L1,identity,orthographic,id
,СОЗДАТЬ,создать,0.499,j,Pavel_L1,identity,orthographic,id
,СТРОИТЬ,строить,0.548,j,Pavel_L1,identity,orthographic,id
,СОБРАТЬ,собрать,0.532,j,Pavel_L1,identity,orthographic,id
,ВЫБРАТЬ,выбрать,0.502,j,Pavel_L1,identity,orthographic,id
,ТРАТИТЬ,тратить,0.648,j,Pavel_L1,identity,orthographic,id
,ВЕРИТЬ,,0.600175,j,AAA_L1,a_unrelated,orthographic,unrel
,ВЕРИТЬ,,0.599655,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,ВЕРИТЬ,,0.535725,j,jishasha_L1,a_unrelated,orthographic,unrel
,ВЕРИТЬ,,0.533,j,Ren_L1,a_unrelated,orthographic,unrel
,ВЕРИТЬ,,0.591865,j,Svetlo,a_unrelated,orthographic,unrel
,ВЕРНУТЬ,,0.681745,j,maya68,a_unrelated,semantic,unrel
,ВЕРНУТЬ,,0.65639,j,peikko,a_unrelated,semantic,unrel
,ВЕРНУТЬ,,0.58857,j,vesna,a_unrelated,semantic,unrel
,ВЕРНУТЬ,,0.63025,j,Zoya,a_unrelated,semantic,unrel
,ВЕРНУТЬ,,0.642,j,шима,a_unrelated,semantic,unrel
,ВЫБРАТЬ,,0.646835,j,maya68,a_unrelated,orthographic,unrel
,ВЫБРАТЬ,,0.64987,j,peikko,a_unrelated,orthographic,unrel
,ВЫБРАТЬ,,0.80266,j,vesna,a_unrelated,orthographic,unrel
,ВЫБРАТЬ,,0.531785,j,Zoya,a_unrelated,orthographic,unrel
,ВЫБРАТЬ,,0.756,j,шима,a_unrelated,orthographic,unrel
,ГОВОРИТЬ,,0.60108,j,AAA_L1,a_unrelated,semantic,unrel
,ГОВОРИТЬ,,0.566525,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ГОВОРИТЬ,,0.48842,j,jishasha_L1,a_unrelated,semantic,unrel
,ГОВОРИТЬ,,0.547,j,Ren_L1,a_unrelated,semantic,unrel
,ГОВОРИТЬ,,0.52071,j,Svetlo,a_unrelated,semantic,unrel
,ДЕРЖАТЬ,,0.55397,j,AAA_L1,a_unrelated,orthographic,unrel
,ДЕРЖАТЬ,,0.600285,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,ДЕРЖАТЬ,,0.528195,j,jishasha_L1,a_unrelated,orthographic,unrel
,ДЕРЖАТЬ,,0.566,j,Ren_L1,a_unrelated,orthographic,unrel
,ДЕРЖАТЬ,,0.579625,j,Svetlo,a_unrelated,orthographic,unrel
,ДУМАТЬ,,0.720355,j,AAA_L1,a_unrelated,semantic,unrel
,ДУМАТЬ,,0.63308,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ДУМАТЬ,,0.535235,j,jishasha_L1,a_unrelated,semantic,unrel
,ДУМАТЬ,,0.574,j,Ren_L1,a_unrelated,semantic,unrel
,ДУМАТЬ,,0.56577,j,Svetlo,a_unrelated,semantic,unrel
,ЕХАТЬ,,0.94054,j,maya68,a_unrelated,semantic,unrel
,ЕХАТЬ,,0.69584,j,peikko,a_unrelated,semantic,unrel
,ЕХАТЬ,,0.650845,j,vesna,a_unrelated,semantic,unrel
,ЕХАТЬ,,1.11962,j,Zoya,a_unrelated,semantic,unrel
,ЕХАТЬ,,0.729,j,шима,a_unrelated,semantic,unrel
,ЖЕЛАТЬ,,0.63046,j,maya68,a_unrelated,semantic,unrel
,ЖЕЛАТЬ,,0.666755,j,peikko,a_unrelated,semantic,unrel
,ЖЕЛАТЬ,,0.55586,j,vesna,a_unrelated,semantic,unrel
,ЖЕЛАТЬ,,0.635565,j,Zoya,a_unrelated,semantic,unrel
,ЖЕЛАТЬ,,0.679,j,шима,a_unrelated,semantic,unrel
,ЗАЯВИТЬ,,0.61726,j,maya68,a_unrelated,semantic,unrel
,ЗАЯВИТЬ,,0.46696,j,peikko,a_unrelated,semantic,unrel
,ЗАЯВИТЬ,,0.521475,j,vesna,a_unrelated,semantic,unrel
,ЗАЯВИТЬ,,0.55656,j,Zoya,a_unrelated,semantic,unrel
,ЗАЯВИТЬ,,0.854,j,шима,a_unrelated,semantic,unrel
,ЗВОНИТЬ,,0.53337,j,AAA_L1,a_unrelated,orthographic,unrel
,ЗВОНИТЬ,,0.59967,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,ЗВОНИТЬ,,0.803835,j,jishasha_L1,a_unrelated,orthographic,unrel
,ЗВОНИТЬ,,0.521,j,Ren_L1,a_unrelated,orthographic,unrel
,ЗВОНИТЬ,,0.565315,j,Svetlo,a_unrelated,orthographic,unrel
,ИГРАТЬ,,0.68168,j,maya68,a_unrelated,orthographic,unrel
,ИГРАТЬ,,0.618545,j,peikko,a_unrelated,orthographic,unrel
,ИГРАТЬ,,0.56956,j,vesna,a_unrelated,orthographic,unrel
,ИГРАТЬ,,0.580345,j,Zoya,a_unrelated,orthographic,unrel
,ИГРАТЬ,,0.671,j,шима,a_unrelated,orthographic,unrel
,ИСКАТЬ,,0.968995,j,maya68,a_unrelated,semantic,unrel
,ИСКАТЬ,,0.61852,j,peikko,a_unrelated,semantic,unrel
,ИСКАТЬ,,0.563935,j,vesna,a_unrelated,semantic,unrel
,ИСКАТЬ,,0.68309,j,Zoya,a_unrelated,semantic,unrel
,ИСКАТЬ,,0.614,j,шима,a_unrelated,semantic,unrel
,КУРИТЬ,,0.630265,j,maya68,a_unrelated,semantic,unrel
,КУРИТЬ,,0.73358,j,peikko,a_unrelated,semantic,unrel
,КУРИТЬ,,0.581625,j,vesna,a_unrelated,semantic,unrel
,КУРИТЬ,,0.486,j,шима,a_unrelated,semantic,unrel
,ЛЕТЕТЬ,,0.66651,j,AAA_L1,a_unrelated,semantic,unrel
,ЛЕТЕТЬ,,1.01904,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ЛЕТЕТЬ,,0.651615,j,jishasha_L1,a_unrelated,semantic,unrel
,ЛЕТЕТЬ,,0.74984,j,Svetlo,a_unrelated,semantic,unrel
,МЕШАТЬ,,0.746585,j,maya68,a_unrelated,orthographic,unrel
,МЕШАТЬ,,0.649815,j,peikko,a_unrelated,orthographic,unrel
,МЕШАТЬ,,0.59866,j,vesna,a_unrelated,orthographic,unrel
,МЕШАТЬ,,0.612875,j,Zoya,a_unrelated,orthographic,unrel
,МЕШАТЬ,,0.806,j,шима,a_unrelated,orthographic,unrel
,НАЧАТЬ,,0.53399,j,AAA_L1,a_unrelated,semantic,unrel
,НАЧАТЬ,,0.628715,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,НАЧАТЬ,,0.53436,j,jishasha_L1,a_unrelated,semantic,unrel
,НАЧАТЬ,,0.565,j,Ren_L1,a_unrelated,semantic,unrel
,НАЧАТЬ,,0.50886,j,Svetlo,a_unrelated,semantic,unrel
,НОСИТЬ,,0.552575,j,AAA_L1,a_unrelated,semantic,unrel
,НОСИТЬ,,0.55834,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,НОСИТЬ,,0.55544,j,jishasha_L1,a_unrelated,semantic,unrel
,НОСИТЬ,,0.561,j,Ren_L1,a_unrelated,semantic,unrel
,НОСИТЬ,,0.59845,j,Svetlo,a_unrelated,semantic,unrel
,ПИСАТЬ,,0.664765,j,AAA_L1,a_unrelated,semantic,unrel
,ПИСАТЬ,,0.511775,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ПИСАТЬ,,0.41851,j,jishasha_L1,a_unrelated,semantic,unrel
,ПИСАТЬ,,0.619,j,Ren_L1,a_unrelated,semantic,unrel
,ПИСАТЬ,,0.58576,j,Svetlo,a_unrelated,semantic,unrel
,ПИТЬ,,0.60021,j,AAA_L1,a_unrelated,semantic,unrel
,ПИТЬ,,0.61682,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ПИТЬ,,0.590765,j,jishasha_L1,a_unrelated,semantic,unrel
,ПИТЬ,,0.549,j,Ren_L1,a_unrelated,semantic,unrel
,ПИТЬ,,0.68192,j,Svetlo,a_unrelated,semantic,unrel
,ПЛАКАТЬ,,0.64716,j,maya68,a_unrelated,semantic,unrel
,ПЛАКАТЬ,,0.604355,j,peikko,a_unrelated,semantic,unrel
,ПЛАКАТЬ,,0.531205,j,vesna,a_unrelated,semantic,unrel
,ПЛАКАТЬ,,0.53218,j,Zoya,a_unrelated,semantic,unrel
,ПЛАКАТЬ,,0.735,j,шима,a_unrelated,semantic,unrel
,ПОМНИТЬ,,0.664795,j,AAA_L1,a_unrelated,semantic,unrel
,ПОМНИТЬ,,0.588555,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ПОМНИТЬ,,0.541955,j,jishasha_L1,a_unrelated,semantic,unrel
,ПОМНИТЬ,,0.634,j,Ren_L1,a_unrelated,semantic,unrel
,ПОМНИТЬ,,0.57263,j,Svetlo,a_unrelated,semantic,unrel
,ПРОСИТЬ,,0.685375,j,maya68,a_unrelated,orthographic,unrel
,ПРОСИТЬ,,0.768055,j,peikko,a_unrelated,orthographic,unrel
,ПРОСИТЬ,,0.57147,j,vesna,a_unrelated,orthographic,unrel
,ПРОСИТЬ,,0.70531,j,Zoya,a_unrelated,orthographic,unrel
,ПРОСИТЬ,,0.766,j,шима,a_unrelated,orthographic,unrel
,СИДЕТЬ,,0.55046,j,AAA_L1,a_unrelated,orthographic,unrel
,СИДЕТЬ,,0.683455,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,СИДЕТЬ,,0.66665,j,jishasha_L1,a_unrelated,orthographic,unrel
,СИДЕТЬ,,0.431,j,Ren_L1,a_unrelated,orthographic,unrel
,СИДЕТЬ,,0.54148,j,Svetlo,a_unrelated,orthographic,unrel
,СЛУШАТЬ,,0.644985,j,maya68,a_unrelated,orthographic,unrel
,СЛУШАТЬ,,0.634155,j,peikko,a_unrelated,orthographic,unrel
,СЛУШАТЬ,,1.23865,j,vesna,a_unrelated,orthographic,unrel
,СЛУШАТЬ,,0.6377,j,Zoya,a_unrelated,orthographic,unrel
,СЛУШАТЬ,,0.6,j,шима,a_unrelated,orthographic,unrel
,СЛЫШАТЬ,,0.548935,j,AAA_L1,a_unrelated,semantic,unrel
,СЛЫШАТЬ,,0.61827,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,СЛЫШАТЬ,,0.5598,j,jishasha_L1,a_unrelated,semantic,unrel
,СЛЫШАТЬ,,0.565,j,Ren_L1,a_unrelated,semantic,unrel
,СЛЫШАТЬ,,0.55028,j,Svetlo,a_unrelated,semantic,unrel
,СМОТРЕТЬ,,0.73227,j,maya68,a_unrelated,orthographic,unrel
,СМОТРЕТЬ,,0.61726,j,peikko,a_unrelated,orthographic,unrel
,СМОТРЕТЬ,,0.66773,j,vesna,a_unrelated,orthographic,unrel
,СМОТРЕТЬ,,0.62122,j,Zoya,a_unrelated,orthographic,unrel
,СМОТРЕТЬ,,0.888,j,шима,a_unrelated,orthographic,unrel
,СОБРАТЬ,,0.637195,j,maya68,a_unrelated,orthographic,unrel
,СОБРАТЬ,,0.58313,j,peikko,a_unrelated,orthographic,unrel
,СОБРАТЬ,,0.58144,j,vesna,a_unrelated,orthographic,unrel
,СОБРАТЬ,,0.813125,j,Zoya,a_unrelated,orthographic,unrel
,СОБРАТЬ,,0.711,j,шима,a_unrelated,orthographic,unrel
,СОЗДАТЬ,,0.48743,j,AAA_L1,a_unrelated,orthographic,unrel
,СОЗДАТЬ,,0.6753,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,СОЗДАТЬ,,0.688,j,Ren_L1,a_unrelated,orthographic,unrel
,СОЗДАТЬ,,0.53576,j,Svetlo,a_unrelated,orthographic,unrel
,СПАТЬ,,0.604045,j,AAA_L1,a_unrelated,semantic,unrel
,СПАТЬ,,0.66659,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,СПАТЬ,,0.50143,j,jishasha_L1,a_unrelated,semantic,unrel
,СПАТЬ,,0.69679,j,maya68,a_unrelated,semantic,unrel
,СПАТЬ,,0.76738,j,peikko,a_unrelated,semantic,unrel
,СПАТЬ,,0.605,j,Ren_L1,a_unrelated,semantic,unrel
,СПАТЬ,,0.530865,j,Svetlo,a_unrelated,semantic,unrel
,СПАТЬ,,0.63402,j,vesna,a_unrelated,semantic,unrel
,СПАТЬ,,0.56431,j,Zoya,a_unrelated,semantic,unrel
,СПАТЬ,,0.598,j,шима,a_unrelated,semantic,unrel
,СТАВИТЬ,,0.79591,j,maya68,a_unrelated,orthographic,unrel
,СТАВИТЬ,,0.69676,j,peikko,a_unrelated,orthographic,unrel
,СТАВИТЬ,,0.638595,j,vesna,a_unrelated,orthographic,unrel
,СТАВИТЬ,,0.73613,j,Zoya,a_unrelated,orthographic,unrel
,СТАВИТЬ,,0.763,j,шима,a_unrelated,orthographic,unrel
,СТОЯТЬ,,0.76281,j,maya68,a_unrelated,orthographic,unrel
,СТОЯТЬ,,0.592945,j,peikko,a_unrelated,orthographic,unrel
,СТОЯТЬ,,0.59742,j,vesna,a_unrelated,orthographic,unrel
,СТОЯТЬ,,0.642165,j,Zoya,a_unrelated,orthographic,unrel
,СТОЯТЬ,,0.688,j,шима,a_unrelated,orthographic,unrel
,СТРАДАТЬ,,0.76867,j,maya68,a_unrelated,orthographic,unrel
,СТРАДАТЬ,,0.804565,j,peikko,a_unrelated,orthographic,unrel
,СТРАДАТЬ,,0.672345,j,vesna,a_unrelated,orthographic,unrel
,СТРАДАТЬ,,0.594975,j,Zoya,a_unrelated,orthographic,unrel
,СТРАДАТЬ,,1.074,j,шима,a_unrelated,orthographic,unrel
,СТРОИТЬ,,0.591845,j,AAA_L1,a_unrelated,orthographic,unrel
,СТРОИТЬ,,0.59952,j,Jelenie Rainer L1,a_unrelated,orthographic,unrel
,СТРОИТЬ,,0.71691,j,jishasha_L1,a_unrelated,orthographic,unrel
,СТРОИТЬ,,0.683,j,Ren_L1,a_unrelated,orthographic,unrel
,СТРОИТЬ,,0.599635,j,Svetlo,a_unrelated,orthographic,unrel
,СЧИТАТЬ,,0.69969,j,maya68,a_unrelated,semantic,unrel
,СЧИТАТЬ,,0.6168,j,peikko,a_unrelated,semantic,unrel
,СЧИТАТЬ,,0.638,j,vesna,a_unrelated,semantic,unrel
,СЧИТАТЬ,,0.595375,j,Zoya,a_unrelated,semantic,unrel
,СЧИТАТЬ,,1.013,j,шима,a_unrelated,semantic,unrel
,ТЕРПЕТЬ,,0.91539,j,maya68,a_unrelated,orthographic,unrel
,ТЕРПЕТЬ,,0.611715,j,peikko,a_unrelated,orthographic,unrel
,ТЕРПЕТЬ,,0.564495,j,vesna,a_unrelated,orthographic,unrel
,ТЕРПЕТЬ,,0.595185,j,Zoya,a_unrelated,orthographic,unrel
,ТЕРПЕТЬ,,0.653,j,шима,a_unrelated,orthographic,unrel
,ТЕРЯТЬ,,0.83645,j,maya68,a_unrelated,orthographic,unrel
,ТЕРЯТЬ,,0.646925,j,peikko,a_unrelated,orthographic,unrel
,ТЕРЯТЬ,,0.55263,j,vesna,a_unrelated,orthographic,unrel
,ТЕРЯТЬ,,0.60006,j,Zoya,a_unrelated,orthographic,unrel
,ТЕРЯТЬ,,0.851,j,шима,a_unrelated,orthographic,unrel
,ТРАТИТЬ,,0.68409,j,maya68,a_unrelated,orthographic,unrel
,ТРАТИТЬ,,0.658085,j,peikko,a_unrelated,orthographic,unrel
,ТРАТИТЬ,,0.60533,j,vesna,a_unrelated,orthographic,unrel
,ТРАТИТЬ,,0.686805,j,Zoya,a_unrelated,orthographic,unrel
,ТРАТИТЬ,,0.693,j,шима,a_unrelated,orthographic,unrel
,УБИТЬ,,0.68897,j,peikko,a_unrelated,semantic,unrel
,УБИТЬ,,0.581405,j,vesna,a_unrelated,semantic,unrel
,УБИТЬ,,0.69548,j,Zoya,a_unrelated,semantic,unrel
,УБИТЬ,,0.765,j,шима,a_unrelated,semantic,unrel
,ХВАТИТЬ,,0.76399,j,maya68,a_unrelated,semantic,unrel
,ХВАТИТЬ,,0.845855,j,peikko,a_unrelated,semantic,unrel
,ХВАТИТЬ,,0.559785,j,vesna,a_unrelated,semantic,unrel
,ХВАТИТЬ,,0.56618,j,Zoya,a_unrelated,semantic,unrel
,ХВАТИТЬ,,0.672,j,шима,a_unrelated,semantic,unrel
,ЧИТАТЬ,,0.500505,j,AAA_L1,a_unrelated,semantic,unrel
,ЧИТАТЬ,,1.482395,j,Jelenie Rainer L1,a_unrelated,semantic,unrel
,ЧИТАТЬ,,0.57157,j,jishasha_L1,a_unrelated,semantic,unrel
,ЧИТАТЬ,,0.591,j,Ren_L1,a_unrelated,semantic,unrel
,ЧИТАТЬ,,0.723995,j,Svetlo,a_unrelated,semantic,unrel
